Версия релиза,План релиза,Название плагина,ID,MVP,Вес,Статус,Группа задач,Описание,Автор,Комментарий,"В сводку попадают задания только со статусом ""Релиз"" по всем релизам. Данные записываются на лист ""Сводка релизов"" и в файл CSV по пути: G:\Общие диски\02_BIM\4_Plugins\0_СводныйРеестрПлагинов\01_СводкиРелизов (G:\Общие диски\10_BIM_LAB\4_Plugins). После записи файла, необходимо скопировать его в ресурсы плагинов на сетевой диск: \\Srv-dfs\BIM\01_Ресурсы плагинов\816_Общая сборка\01_СводкиРелизов","В сборку попадают плагины только со статусом ""Готово"". Данные записываются на лист ""Состав сборки"" и в файл CSV по пути: G:\Общие диски\02_BIM\4_Plugins\0_СводныйРеестрПлагинов\02_Состав сборки. После записи файла, необходимо скопировать его в ресурсы плагинов на сетевой диск: \\Srv-dfs\BIM\01_Ресурсы плагинов\816_Общая сборка\02_СоставСборки"
v250625,,,,,,,,,,,,
,,,2102006,TRUE,3,Релиз,ОШИБКИ,При экспорте обрезаются скругленные углы fillet и превращаются в фаску chamfer,,,,
v250613,,,,,,,,,,,,
,,,2102005,TRUE,,Без статуса,,Сделать версии скриптов для Revit 2024+,,"Потенциальная проблема. В версии R24+ используется CPython3. При переключении на IronPython2.7, возникают конфликты и Dynamo перестает запускаться вообще. Помогает только удаление пакета IronPython2.7. Однако на CPython3 нет возможности работы с .Net библиотеками, поэтому интерфейсы с выпадающими списками не работают. Решение: использовать вместо выпадающего списка прямой ввод имени плана/зоны.",,
v250516,,,,,,,,,,,,
,,Обводка ГНС. Создать_ЦвОбласти_ПланЗонирования,2102004,TRUE,,Готово,ФУНКЦИОНАЛ,Создать скрипт для экспорта контуров зон на основе плана зонирования,Евгений Ермоленко (Генпро),Экспорт изолированного контура ГНС и зон квартир по выбранному уровню. Экспорт с объединением в один DWG.,,
v250407,,,,,,,,,,,,
,,Обводка ГНС. Экспорт зоны,2102001,TRUE,,Готово,ФУНКЦИОНАЛ,Создать кнопку для экспорта ГНС на основе зоны,Евгений Ермоленко (Генпро),Экспорт изолированного контура ГНС в DWG. Выбор зоны из списка или выделением на плане зонирования. ,,
,,,2102002,TRUE,,Не начато,ФУНКЦИОНАЛ,Создать шаблон плана зонирования и схемы,,План Зонирования для ГНС и Квартирографии,,
,,Обводка ГНС. Зоны квартир,2102003,TRUE,,Готово,ФУНКЦИОНАЛ,Создать скрипт для создания зон в квартирах,Евгений Ермоленко (Генпро),"На основе заполненной Квартирографии и созданного плана зонирования со схемой Квартирография. Зоны должны объединять помещения, которые сопрекасаются через границы помещений в рамках квартиры.",,
v251205,,,,,,,,,,,,
,,Обводка ГНС. Зоны квартир,2102015,TRUE,,Не начато,ФУНКЦИОНАЛ,Расширить возможность создавать несколько контуров ГНС на одном плане,Евгений Ермоленко (Генпро),,,
,,Обводка ГНС. Зоны квартир,2102014,FALSE,,Не начато,ФУНКЦИОНАЛ,,Евгений Ермоленко (Генпро),,,
,,Обводка ГНС. SPP1.1-2_Создать_ЦвОбластиИзПомещений_RUS,2102013,TRUE,,Не начато,ФУНКЦИОНАЛ,Добавить возможность выбрать несколько планов для генерации зон,Евгений Ермоленко (Генпро),,,
,,,2102012,TRUE,,Не начато,ФУНКЦИОНАЛ,Добавить возможность выбрать несколько планов для генерации зон,,,,
,,Обводка ГНС. Зоны квартир,2102011,TRUE,,Не начато,ФУНКЦИОНАЛ,Добавить возможность выбрать несколько планов для генерации зон,Евгений Ермоленко (Генпро),,,
,,Обводка ГНС. Зоны квартир,2102010,TRUE,,Не начато,ФУНКЦИОНАЛ,Убрать дверные проемы из расчета зоны квартир,Евгений Ермоленко (Генпро),,,
